FUNCTION_ID,FUNCTION_NAME,FUNCTION_TYPE,PATHWAY_TYPE,REACTOME,PUBCHEM_PATHWAY_ID,PATHBANK,PANTHER,BIOCYC,WIKIPATHWAYS,SMPDB,PATHWAY_INTERACTION_DATABASE,PLANT_REACTOME,PLANTCYC,PATHWAY_COMMON,PANTHER_PATHWAY,CHEMFONT,PHARMGKB,LIPID_MAPS,BIOCARTA,NETPATH
1539,fsh,biological_process,biological_process,,,,,,,,,,,Pathway_4673d40977f8ae836041d4f77e1e156e,,,,,,
1541,full agonism,molecular_function,Unknown,,,,,,,,,,,,,,,,,
1546,fusion,biological_process,biological_process,,,,,,,,,,,Pathway_9fd6cd2a6c5410c299c30ad88b8e9fc4,,,,,,
1557,g-protein activation,biological_process,biological_process,R-GGA-202040| R-HSA-202040,11453| 1181785| 14051| 15165| 16706| 17701| 19779| 20692| 2268| 23168| 3006| 4272| 502| 5389| 7284| 7981| 9951,,,,,,,,,,,,,,,
1562,g1 phase,biological_process,biological_process,R-GGA-69236| R-HSA-69236,1051| 11764| 12839| 1361523| 1361671| 14561| 16086| 19301| 21257| 22904| 2440| 4582| 5826| 717| 7199| 8245| 9654,,,,,,,,,,,,,,,
1566,g1-s,biological_process,biological_process,,,,,,,,,,,Pathway_39a1fe253e342ffebcae09c05d74aff3,,,,,,
1567,g13 signaling pathway,biological_process,biological_process,,38716| 39113| 39236| 39282| 39325| 39394| 40076| 40173,,,,WP1381| WP524,,,,,,,,,,,
1570,g2 phase,biological_process,biological_process,R-GGA-68911| R-HSA-68911,1078| 11794| 12866| 1360725| 1361482| 14574| 16113| 19328| 22930| 4609| 5853| 730| 8259| 9681,,,,,,,,,,,,,,,
1572,g2-m,biological_process,biological_process,,,,,,,,,,,Pathway_d481ff2399866c61b68730c60159dde1,,,,,,
1573,g2/m dna damage checkpoint,biological_process,biological_process,R-GGA-69473| R-HSA-69473,1039| 11750| 12827| 14554| 15481| 16074| 18033| 18340| 19289| 21247| 22892| 2430| 4570| 5814| 710| 7190| 8235| 9644,,,,,,,,,,,,,,,
1598,gastrin,biological_process,biological_process,,,,,,,,,,,,,,,,,Pathway_Gastrin
1602,gastrointestinal toxicity,biological_process,biological_process,,1340169,,,,,,,,,,,,PA166124386,,,
1623,gene transcription,biological_process,biological_process,,,,,,,,,,,Pathway_a0f69aeac13561ee3075e3816cadf327,,,,,,
