FUNCTION_ID,FUNCTION_NAME,FUNCTION_TYPE,PATHWAY_TYPE,REACTOME,PUBCHEM_PATHWAY_ID,PATHBANK,PANTHER,BIOCYC,WIKIPATHWAYS,SMPDB,PATHWAY_INTERACTION_DATABASE,PLANT_REACTOME,PLANTCYC,PATHWAY_COMMON,PANTHER_PATHWAY,CHEMFONT,PHARMGKB,LIPID_MAPS,BIOCARTA,NETPATH
1410,eukaryotic translation initiation,biological_process,biological_process,R-BTA-72613| R-HSA-72613,10240| 11863| 14212| 15069| 15541| 16262| 18097| 18444| 20354| 20853| 23428| 2779| 3968| 403| 6459| 6810| 7777| 808,,,,,,,,,,,,,,,
1449,fat digestion and absorption,biological_process,biological_process,,,,,,,,,,,,,PTW_0110521,,,,
1450,fatty acid activation,biological_process,biological_process,,1183182| 1183415| 1183683| 1183988| 1184129| 23647| 27205| 28124| 29038| 30271| 30859| 31958| 33263| 34548| 35191| 35890| 35941| 36523| 36793| 41134| 41356| 41749| 41962| 42153| 42373| 42604| 42811| 43030| 43250| 43463| 43688| 43924| 44151| 44387| 44596| 44834| 45176| 45422| 45649| 45863| 46088| 46319| 46549| 46904| 47129| 47357| 47571| 47795| 48024| 48260| 48472| 48710| 48927| 49135| 49350| 49567| 49810| 50028| 50263| 50486| 50698| 50927| 51152| 51371| 51589| 51942| 52180| 52405| 52630| 52999| 53221| 53436| 53664| 53885| 54110| 54324| 54550| 54782| 55024| 55248| 55468| 55699| 55917| 56073| 56299| 56513| 56789| 57040| 57265| 57485| 57703| 57931,,,PWY-5143,,,,R-ADU-1119623,,Pathway_9043dd8b1fb1d3b1b7ac08cfa06a7f54,,,,,,
1460,fatty acid transporters,biological_process,biological_process,,1361626,,,,WP5061,,,,,,,,,,,
1461,fatty acid _______짼-oxidation,biological_process,biological_process,,23836| 28144,,,PWY3IU-1054,,,,,,,,,,,,
1462,fatty acids,biological_process,biological_process,R-GGA-211935| R-HSA-211935,11126| 1182104| 13426| 1360703| 14851| 16029| 1701| 19125| 21787| 22476| 231| 5079| 6312| 8918| 9339,,,,,,,,,,,,,,,
1467,feedback loops,biological_process,biological_process,,,,,,,,,,,Pathway_6bdff0913f077db4396a0af51995baa7,,,,,,
1477,fgf signaling pathway,biological_process,biological_process,,1361950| 40184| 40933,,P00021,,WP152,,fgf_pathway,,,,P00021,,,,,
1495,filtration,biological_process,biological_process,,,,,,,,,,,,,PTW_0181325,,,,
1497,fire,biological_process,biological_process,,,,,,,,,,,,,PTW_0181180,,,,
1498,firefly bioluminescence,biological_process,biological_process,,26574,,,PWY-7913,,,,,,,,,,,,
1512,flt3 signaling,biological_process,biological_process,R-PFA-9607240| R-HSA-9607240,1295206| 1295230| 1295260| 1295263| 1295294| 1295297| 1295331| 1295346| 1295348| 1295365| 1295398| 1295399| 1295424| 1295450| 1295507,,,,,,,,,,,,,,,
1517,focal adhesion formation,biological_process,biological_process,,40422,,,,,,focal adhesion formation,,,Pathway_8f08ade5c3547c4a21a6eb186de1b3e8,,,,,,
1528,fragile x syndrome,biological_process,biological_process,,1295538,,,,WP4549,,,,,,,,,,,
1531,free fatty acid receptors,biological_process,biological_process,R-GGA-444209| R-HSA-444209,11443| 14041| 16696| 19769| 2258| 23158| 4262| 5379| 9942,,,,,,,,,,,,,,,
